,SitID,HorID,Pick,Quality,Tops
475,102666,14000,458.42,3,paleozoic
476,102671,1000,309.98,1,mannville
477,102671,2000,        ,-1,t61
478,102671,3000,        ,-1,t51
479,102671,4000,        ,-1,t41
480,102671,5000,427.94,2,t31
481,102671,6000,        ,-1,clw_wab
482,102671,7000,449.28,2,t21
483,102671,9000,454.76,2,t15
484,102671,9500,454.76,2,e14
485,102671,10000,458.42,2,t11
486,102671,11000,466.34,2,t10.5
487,102671,12000,466.34,2,e10
488,102671,13000,466.34,2,mcmurray
489,102671,14000,480.06,1,paleozoic
490,102672,1000,340,1,mannville
491,102672,2000,        ,-1,t61
492,102672,3000,        ,-1,t51
493,102672,4000,        ,-1,t41
494,102672,5000,464.5,1,t31
495,102672,6000,        ,-1,clw_wab
496,102672,7000,485,2,t21
497,102672,9000,491,3,t15
498,102672,9500,491,3,e14
499,102672,10000,497,2,t11
500,102672,11000,504,2,t10.5
501,102672,12000,504,2,e10
502,102672,13000,504,2,mcmurray
503,102672,14000,517,2,paleozoic
504,102679,1000,311,1,mannville
505,102679,2000,        ,-1,t61
506,102679,3000,        ,-1,t51
507,102679,4000,        ,-1,t41
508,102679,5000,431,1,t31
509,102679,6000,        ,-1,clw_wab
510,102679,7000,453,1,t21
511,102679,9000,460,3,t15
512,102679,9500,460,3,e14
513,102679,10000,464,2,t11
514,102679,11000,469,1,t10.5
515,102679,12000,469,1,e10
516,102679,13000,469,1,mcmurray
517,102679,14000,498,1,paleozoic
518,102681,1000,317.5,1,mannville
519,102681,2000,        ,-1,t61
520,102681,3000,        ,-1,t51
521,102681,4000,        ,-1,t41
522,102681,5000,438,1,t31
523,102681,6000,        ,-1,clw_wab
524,102681,7000,464,1,t21
525,102681,9000,466.5,3,t15
526,102681,9500,466.5,3,e14
527,102681,10000,470.5,2,t11
528,102681,11000,476,2,t10.5
529,102681,12000,476,2,e10
530,102681,13000,476,2,mcmurray
531,102681,14000,497.5,3,paleozoic
532,102684,1000,308.5,1,mannville
533,102684,2000,        ,-1,t61
534,102684,3000,        ,-1,t51
535,102684,4000,        ,-1,t41
536,102684,5000,428,2,t31
537,102684,6000,        ,-1,clw_wab
538,102684,7000,450,1,t21
539,102684,9000,456,2,t15
540,102684,9500,456,2,e14
541,102684,10000,461,1,t11
542,102684,11000,466,3,t10.5
543,102684,12000,466,3,e10
544,102684,13000,466,3,mcmurray
545,102684,14000,489.5,2,paleozoic
546,102686,1000,340.5,1,mannville
547,102686,2000,        ,-1,t61
548,102686,3000,        ,-1,t51
549,102686,4000,        ,-1,t41
550,102686,5000,461.5,1,t31
551,102686,6000,        ,-1,clw_wab
552,102686,7000,483,1,t21
553,102686,9000,488,3,t15
554,102686,9500,488,3,e14
555,102686,10000,494,2,t11
556,102686,11000,500,3,t10.5
557,102686,12000,500,3,e10
558,102686,13000,500,3,mcmurray
559,102686,14000,508,1,paleozoic
560,102698,1000,338,1,mannville
561,102698,2000,        ,-1,t61
562,102698,3000,        ,-1,t51
563,102698,4000,        ,-1,t41
564,102698,5000,458,1,t31
565,102698,6000,        ,-1,clw_wab
566,102698,7000,481,1,t21
567,102698,9000,488,2,t15
568,102698,9500,488,2,e14
569,102698,10000,492,1,t11
570,102698,11000,499,2,t10.5
571,102698,12000,499,2,e10
572,102698,13000,499,2,mcmurray
573,102698,14000,538,1,paleozoic
574,102702,1000,363.63,1,mannville
575,102702,2000,        ,-1,t61
576,102702,3000,        ,-1,t51
577,102702,4000,        ,-1,t41
578,102702,5000,481.58,1,t31
579,102702,6000,        ,-1,clw_wab
580,102702,7000,501.09,1,t21
581,102702,9000,508.1,3,t15
582,102702,9500,508.1,3,e14
583,102702,10000,512.06,1,t11
584,102702,11000,518.16,1,t10.5
585,102702,12000,518.16,1,e10
586,102702,13000,518.16,1,mcmurray
587,102702,14000,536.45,1,paleozoic
588,102710,1000,388.32,1,mannville
589,102710,2000,        ,-1,t61
590,102710,3000,        ,-1,t51
591,102710,4000,        ,-1,t41
592,102710,5000,506.27,1,t31
593,102710,6000,        ,-1,clw_wab
594,102710,7000,527.3,1,t21
595,102710,9000,534.01,2,t15
596,102710,9500,534.01,2,e14
597,102710,10000,539.5,1,t11
598,102710,11000,546.2,2,t10.5
599,102710,12000,546.2,2,e10
600,102710,13000,546.2,2,mcmurray
601,102710,14000,548.64,2,paleozoic
602,102714,1000,377.95,1,mannville
603,102714,2000,        ,-1,t61
604,102714,3000,        ,-1,t51
605,102714,4000,        ,-1,t41
606,102714,5000,496.82,1,t31
607,102714,6000,        ,-1,clw_wab
608,102714,7000,518.16,1,t21
609,102714,9000,524.87,3,t15
610,102714,9500,524.87,3,e14
611,102714,10000,528.83,1,t11
612,102714,11000,534.62,2,t10.5
613,102714,12000,534.62,2,e10
614,102714,13000,534.62,2,mcmurray
615,102714,14000,561.44,1,paleozoic
616,102719,1000,378,1,mannville
617,102719,2000,        ,-1,t61
618,102719,3000,        ,-1,t51
619,102719,4000,        ,-1,t41
620,102719,5000,497,1,t31
621,102719,6000,        ,-1,clw_wab
622,102719,7000,516,1,t21
623,102719,9000,522,3,t15
624,102719,9500,522,3,e14
625,102719,10000,525.5,1,t11
626,102719,11000,        ,0,t10.5
627,102719,12000,        ,0,e10
628,102719,13000,        ,0,mcmurray
629,102719,14000,535.5,1,paleozoic
630,102743,1000,307,1,mannville
631,102743,2000,        ,-1,t61
632,102743,3000,        ,-1,t51
633,102743,4000,        ,-1,t41
634,102743,5000,425,1,t31
635,102743,6000,        ,-1,clw_wab
636,102743,7000,443,1,t21
637,102743,9000,450,2,t15
638,102743,9500,450,2,e14
639,102743,10000,452,1,t11
640,102743,11000,        ,0,t10.5
641,102743,12000,        ,0,e10
642,102743,13000,        ,0,mcmurray
643,102743,14000,459,1,paleozoic
644,102752,1000,387,1,mannville
645,102752,2000,        ,-1,t61
646,102752,3000,        ,-1,t51
647,102752,4000,        ,-1,t41
648,102752,5000,502.5,1,t31
649,102752,6000,        ,-1,clw_wab
650,102752,7000,520.5,1,t21
651,102752,9000,525,1,t15
652,102752,9500,525,1,e14
653,102752,10000,530,1,t11
654,102752,11000,        ,0,t10.5
655,102752,12000,        ,0,e10
656,102752,13000,        ,0,mcmurray
657,102752,14000,533,1,paleozoic
658,102754,1000,386.18,1,mannville
659,102754,2000,        ,-1,t61
660,102754,3000,        ,-1,t51
661,102754,4000,        ,-1,t41
662,102754,5000,501.7,1,t31
663,102754,6000,        ,-1,clw_wab
664,102754,7000,522.12,1,t21
665,102754,9000,527.3,1,t15
666,102754,9500,527.3,1,e14
667,102754,10000,531.57,1,t11
668,102754,11000,534.01,2,t10.5
669,102754,12000,534.01,2,e10
670,102754,13000,534.01,2,mcmurray
671,102754,14000,552.3,1,paleozoic
672,102761,1000,353,1,mannville
673,102761,2000,        ,-1,t61
674,102761,3000,        ,-1,t51
675,102761,4000,        ,-1,t41
676,102761,5000,471.5,1,t31
677,102761,6000,        ,-1,clw_wab
678,102761,7000,487,1,t21
679,102761,9000,490,2,t15
680,102761,9500,504.5,1,e14
681,102761,10000,        ,0,t11
682,102761,11000,        ,0,t10.5
683,102761,12000,        ,0,e10
684,102761,13000,        ,0,mcmurray
685,102761,14000,505,1,paleozoic
686,102774,1000,352.5,1,mannville
687,102774,2000,        ,-1,t61
688,102774,3000,        ,-1,t51
689,102774,4000,        ,-1,t41
690,102774,5000,471,1,t31
691,102774,6000,        ,-1,clw_wab
692,102774,7000,489,1,t21
693,102774,9000,495,2,t15
694,102774,9500,495,2,e14
695,102774,10000,500,1,t11
696,102774,11000,        ,0,t10.5
697,102774,12000,        ,0,e10
698,102774,13000,        ,0,mcmurray
699,102774,14000,504,1,paleozoic
700,102780,1000,402,1,mannville
701,102780,2000,        ,-1,t61
702,102780,3000,        ,-1,t51
703,102780,4000,        ,-1,t41
704,102780,5000,518,1,t31
705,102780,6000,        ,-1,clw_wab
706,102780,7000,537,1,t21
707,102780,9000,543,1,t15
708,102780,9500,543,1,e14
709,102780,10000,546.55,1,t11
710,102780,11000,        ,0,t10.5
711,102780,12000,        ,0,e10
712,102780,13000,        ,0,mcmurray
713,102780,14000,548,1,paleozoic
714,102785,1000,382.5,1,mannville
715,102785,2000,        ,-1,t61
716,102785,3000,        ,-1,t51
717,102785,4000,        ,-1,t41
718,102785,5000,499.5,1,t31
719,102785,6000,        ,-1,clw_wab
720,102785,7000,518,1,t21
721,102785,9000,525,1,t15
722,102785,9500,525,1,e14
723,102785,10000,528.5,1,t11
724,102785,11000,535,2,t10.5
725,102785,12000,535,2,e10
726,102785,13000,535,2,mcmurray
727,102785,14000,549,1,paleozoic
728,102798,1000,358,1,mannville
729,102798,2000,        ,-1,t61
730,102798,3000,        ,-1,t51
731,102798,4000,        ,-1,t41
732,102798,5000,476,1,t31
733,102798,6000,        ,-1,clw_wab
734,102798,7000,494,1,t21
735,102798,9000,499,1,t15
736,102798,9500,499,1,e14
737,102798,10000,504,1,t11
738,102798,11000,        ,0,t10.5
739,102798,12000,        ,0,e10
740,102798,13000,        ,0,mcmurray
741,102798,14000,507.5,1,paleozoic
742,102802,1000,358.44,1,mannville
743,102802,2000,        ,-1,t61
744,102802,3000,        ,-1,t51
745,102802,4000,        ,-1,t41
746,102802,5000,478.54,1,t31
747,102802,6000,        ,-1,clw_wab
748,102802,7000,498.65,1,t21
749,102802,9000,507.49,1,t15
750,102802,9500,507.49,1,e14
751,102802,10000,513.28,1,t11
752,102802,11000,519.99,2,t10.5
753,102802,12000,519.99,2,e10
754,102802,13000,519.99,2,mcmurray
755,102802,14000,553.52,1,paleozoic
756,103698,1000,393.5,1,mannville
757,103698,2000,        ,-1,t61
758,103698,3000,        ,-1,t51
759,103698,4000,        ,-1,t41
760,103698,5000,516,1,t31
761,103698,6000,        ,-1,clw_wab
762,103698,7000,537,2,t21
763,103698,9000,        ,0,t15
764,103698,9500,        ,0,e14
765,103698,10000,542,3,t11
766,103698,11000,544,3,t10.5
767,103698,12000,544,3,e10
768,103698,13000,544,1,mcmurray
769,103698,14000,630,1,paleozoic
770,103699,1000,419,1,mannville
771,103699,2000,        ,-1,t61
772,103699,3000,        ,-1,t51
773,103699,4000,        ,-1,t41
774,103699,5000,539,1,t31
775,103699,6000,        ,-1,clw_wab
776,103699,7000,562,2,t21
777,103699,9000,564,2,t15
778,103699,9500,564,2,e14
779,103699,10000,566,2,t11
780,103699,11000,572,1,t10.5
781,103699,12000,572,1,e10
782,103699,13000,572,1,mcmurray
